Wind_speed,Power,Nacelle_ambient_temperature,Generator_bearing_temperature,Gear_oil_temperature,Ambient_temperature,Rotor_Speed,Nacelle_temperature,Generator_speed,Yaw_angle,Wind_direction,Gear_box_inlet_temperature,Bearing_temperature,Wheel_hub_temperature,Failure_status
3.0,3.0,9.19,80.24,72.78,20.62,256.12,48.2,1066.72,57.04,2.27,11.66,89.06,16.09,No_failure
38.68,1.26,-43.225,47.68125000000001,116.51124999999999,4.46,10.88,15.530000000000012,620.4012500000002,104.85,137.53,27.183749999999996,28.39,-82.03,Failure
19.46,2.86,40.0,76.98,50.0,10.73,146.06,39.95,1518.79,8.0,36.49,15.9,100.0,36.76,No_failure
14.03,2.79,28.78,82.51,69.36,-4.43,94.76,48.06,1455.81,12.12,5.51,15.23,70.0,40.31,No_failure
14.92,2.83,0.33,95.32,62.72,24.46,244.01,41.54,1609.98,23.96,57.82,20.0,70.0,49.67,No_failure
18.85,2.75,40.0,89.29,80.49,35.17,139.58,60.0,1311.39,0.94,13.17,19.52,100.0,2.11,No_failure
11.78,2.03,11.19,98.44,90.0,-9.11,116.8,30.0,1652.06,48.95,10.73,19.23,70.0,5.34,No_failure
19.32,2.02,31.93,73.54,70.85,21.77,137.12,40.44,1376.67,11.42,63.1,16.14,70.0,-9.66,No_failure
12.25,2.23,40.0,80.14,84.67,25.28,161.78,59.22,1504.81,1.13,39.05,14.43,100.0,33.11,No_failure
26.82,3.17,28.65,76.5,74.24,14.78,214.94,55.38,1361.46,29.53,58.69,10.0,86.31,34.18,No_failure
10.92,2.6,1.07,74.83,64.23,25.49,263.29,48.72,1366.61,36.03,63.89,11.46,100.0,16.59,No_failure
28.04,2.69,26.99,85.61,64.12,-12.89,152.61,46.03,1190.77,60.0,39.7,20.0,100.0,75.24,No_failure
18.91,3.22,40.0,73.25,71.46,-4.18,99.8,45.4,1329.57,56.6,3.91,19.55,70.0,-26.01,No_failure
8.95,2.92,40.0,73.24,64.71,25.36,262.77,51.13,1054.55,40.74,84.08,10.02,70.0,31.36,No_failure
1.41,4.3,-43.225,120.39124999999999,114.35,64.43,359.99,70.33,2202.75125,130.53,148.94,27.183749999999996,145.0,112.51,Failure
10.56,2.77,40.0,80.85,65.93,7.17,224.46,37.16,1233.56,15.79,6.23,13.22,100.0,16.57,No_failure
0.98,4.3,64.33,120.39124999999999,116.51124999999999,66.41,393.5,74.64999999999999,2202.75125,122.41,192.84124999999997,27.183749999999996,118.84,98.54,Failure
25.89,2.68,16.72,86.58,73.82,0.76,184.93,43.71,1516.12,10.24,57.64,13.24,100.0,4.82,No_failure
9.86,3.19,40.0,95.38,76.44,10.65,262.37,36.48,1209.67,1.11,35.28,11.93,100.0,13.2,No_failure
29.01,3.123787826,40.0,88.33,67.43,-6.66,161.96,56.71,1497.9,23.61,192.84124999999997,16.4,70.0,31.07,No_failure
17.15,2.31,7.01,94.38,81.03,19.87,168.5,35.07,1375.77,0.37,42.73,16.45,70.0,80.0,No_failure
0.77,4.3,89.935,120.39124999999999,116.51124999999999,63.45,391.83,74.64999999999999,2059.58,95.05,190.56,27.183749999999996,110.69,104.28,Failure
25.0,3.18,40.0,94.13,90.0,0.57,182.29,55.11,1441.78,60.0,57.1,16.6,70.0,2.56,No_failure
5.64,2.94,38.39,77.65,58.89,-2.92,148.14,40.33,1800.0,21.86,12.66,14.08,100.0,25.4,No_failure
16.96,2.48,23.02,80.05,50.0,-5.79,201.79,39.22,1514.98,16.54,10.75,17.48,70.0,63.09,No_failure
18.2,2.0,40.0,82.94,62.12,-12.97,189.18,38.47,1000.0,60.0,8.26,14.38,70.0,40.06,No_failure
15.89,2.91,1.13,84.31,69.27,12.88,87.42,30.0,1671.32,12.68,43.49,18.62,70.0,24.16,No_failure
42.31,4.3,51.4,81.62,62.65,8.11,120.35,74.64999999999999,2202.75125,60.0,35.13,25.83,100.0,40.28,No_failure
14.72,3.32,40.0,79.78,90.0,11.6,120.37,31.33,1337.7,17.55,3.53,15.78,71.2,29.88,No_failure
23.28,2.8,28.69,74.6,62.77,11.24,50.0,49.61,1542.84,24.17,26.26,16.67,100.0,32.21,No_failure
27.38,2.21,40.0,83.14,57.89,21.24,50.0,36.8,1197.96,4.33,14.2,14.44,100.0,80.0,No_failure
18.03,3.06,16.02,72.46,90.0,-19.73,105.49,50.92,1678.28,3.68,67.01,15.32,70.0,75.86,No_failure
23.85,2.9,8.86,92.11,60.51,6.03,57.07,48.48,1495.5,0.09,20.74,17.7,70.0,19.02,No_failure
21.78,2.65,40.0,83.44,88.21,16.37,157.25,41.28,1582.98,21.5,88.58,14.12,91.65,43.13,No_failure
12.6,2.1,27.55,83.49,70.09,28.52,300.0,57.49,1449.58,60.0,30.06,12.58,100.0,50.78,No_failure
20.1,2.91,40.0,94.11,59.46,22.34,192.39,35.35,1339.38,25.63,36.77,12.88,75.99,35.69,No_failure
15.92,3.11,40.0,73.19,62.66,19.11,230.11,42.33,1621.36,10.92,93.57,13.33,100.0,-12.33,No_failure
23.68,2.4,40.0,71.31,72.93,18.68,121.85,45.41,1144.66,34.53,62.41,14.46,70.0,-19.46,No_failure
3.0,3.48,40.0,74.89,66.45,20.12,107.91,54.24,1662.67,12.34,74.3,19.51,70.0,13.26,No_failure
26.33,3.28,1.25,88.32,63.27,24.73,179.84,43.18,1205.78,2.18,9.95,14.75,70.0,3.89,No_failure
20.71,2.52,40.0,76.05,90.0,40.0,113.64,51.67,1378.57,57.34,23.05,15.03,70.0,-27.19,No_failure
1.04,4.3,67.34,120.39124999999999,115.98,62.05,359.16,74.64999999999999,2103.65,110.27,145.44,27.183749999999996,125.39,103.36,Failure
16.14,2.0,40.0,73.02,56.88,9.36,206.94,40.2,1333.84,4.05,40.25,15.16,70.0,18.97,No_failure
22.87,2.08,40.0,70.5,72.57,37.85,257.32,48.21,1000.0,22.83,16.7,18.5,70.0,41.0,No_failure
18.29,2.84,17.95,83.75,80.27,-0.6,272.37,47.9,1399.35,50.57,192.84124999999997,15.2,100.0,52.84,No_failure
9.6,2.47,1.62,78.0,80.78,7.68,79.16,47.95,1110.79,19.34,8.24,14.52,70.0,46.34,No_failure
3.0,2.31,24.79,95.38,74.49,-20.0,262.59,49.74,1452.31,8.05,13.27,20.0,70.0,12.65,No_failure
17.16,3.27,40.0,85.75,50.0,6.58,148.45,42.38,1329.82,16.73,2.39,17.12,70.0,-37.48,No_failure
30.0,2.86,9.47,80.24,66.0,0.95,227.63,52.6,1492.18,60.0,4.24,12.89,70.0,33.58,No_failure
29.05,2.78,40.0,84.59,90.0,33.66,298.65,54.91,1194.55,12.5,84.92,19.35,100.0,-26.24,No_failure
24.53,2.12,2.65,77.57,67.76,3.33,85.97,40.37,1426.48,28.36,27.32,13.71,100.0,17.41,No_failure
15.03,2.0,40.0,96.43,75.88,16.86,174.4,46.91,1750.39,45.43,34.15,14.81,70.0,-2.96,No_failure
19.09,2.28,1.56,90.82,73.51,-5.4,54.52,48.31,1001.15,20.32,66.28,13.89,100.0,-4.26,No_failure
22.79,2.54,13.63,78.95,73.0,12.65,65.56,49.22,1267.39,48.39,33.3,17.62,70.0,-27.71,No_failure
42.88,1.26,-32.1,47.68125000000001,114.21,-5.66,32.06,15.530000000000012,794.97,108.14,192.84124999999997,22.92,43.11,-51.23,Failure
7.11,3.44,2.75,76.13,52.58,36.29,55.12,48.36,1515.62,37.24,4.1,13.48,70.0,36.64,No_failure
27.99,3.05,27.4,80.02,63.22,2.08,230.17,45.04,1744.72,31.14,4.9,16.92,70.0,32.71,No_failure
43.15625,1.26,-36.36,47.68125000000001,109.35,-5.82,3.22,15.530000000000012,620.4012500000002,130.53,159.71,25.33,40.09,-73.26,Failure
43.12,1.26,-40.74,47.68125000000001,103.93,-16.43,3.73,15.530000000000012,620.4012500000002,90.38,69.69,23.69,28.85,-63.93,Failure
17.0,2.85,0.31,96.56,68.35,-20.0,141.07,42.34,1101.01,5.15,76.05,16.21,70.0,68.31,No_failure
11.6,2.13,40.0,82.92,55.89,4.29,224.01,49.24,1603.63,14.97,6.34,16.86,100.0,54.85,No_failure
43.15625,1.26,-43.225,47.68125000000001,101.37,-2.91,14.77,15.530000000000012,620.4012500000002,127.97,89.27,22.49,25.0,-55.7,Failure
18.19,2.24,0.72,85.29,63.32,8.44,50.0,60.0,1327.21,13.83,27.53,11.47,70.0,8.28,No_failure
26.57,2.4,40.0,70.4,86.53,-17.63,203.5,38.08,1000.0,29.78,69.54,13.86,70.0,13.18,No_failure
1.8,4.3,4.75,120.39124999999999,104.04,67.2875,411.85125,74.64999999999999,2180.16,101.61,4.17,27.183749999999996,139.22,112.37,Failure
19.37,2.24,29.36,88.43,55.16,36.42,193.05,36.23,1420.62,6.5,49.21,17.88,70.0,-21.63,No_failure
11.82,2.6,19.43,83.24,70.26,5.07,203.2,57.3,1530.97,57.04,11.22,14.15,70.0,17.66,No_failure
15.97,2.83,37.87,82.26,61.16,35.77,201.67,47.26,1231.66,22.03,23.11,16.95,70.0,27.5,No_failure
20.17,2.12,22.55,90.62,79.09,3.36,210.42,45.4,1121.98,10.98,14.11,18.76,70.0,30.97,No_failure
6.1,2.99,40.0,97.07,83.3,3.59,129.04,35.73,1484.74,6.87,75.07,20.0,70.0,80.0,No_failure
43.15625,1.26,-43.225,47.68125000000001,116.51124999999999,1.26,15.1,15.530000000000012,771.02,104.41,192.84124999999997,21.8,25.0,-60.4,Failure
14.03,2.97,26.24,91.51,58.2,11.22,182.78,37.47,1075.15,60.0,53.91,14.51,70.0,-10.63,No_failure
17.84,3.22,5.03,86.46,75.95,10.96,74.44,36.73,1505.91,19.22,46.56,14.15,70.0,80.0,No_failure
7.2,2.15,22.26,89.89,72.49,14.32,94.17,46.4,1434.29,11.07,2.21,16.46,70.0,19.05,No_failure
11.96,2.0,40.0,88.01,78.81,8.2,300.0,55.79,1449.67,57.04,140.23,19.96,70.0,7.38,No_failure
20.19,2.71,38.18,87.71,63.47,-4.21,183.66,52.01,1532.03,60.0,142.62,17.54,85.28,26.85,No_failure
17.57,3.1,40.0,89.0,64.15,-3.25,144.39,30.0,1338.15,22.33,30.47,17.19,70.0,-39.19,No_failure
21.48,2.78,40.0,80.7,79.36,-13.66,150.03,30.88,1230.46,26.33,175.26,18.71,70.0,18.58,No_failure
39.33,1.26,-42.92,65.17,116.51124999999999,-3.13,9.99,24.48,620.4012500000002,130.53,29.11,21.86,30.83,-70.12,Failure
3.0,2.94,17.87,94.49,69.75,8.29,107.17,46.77,1476.37,51.27,40.52,13.77,100.0,29.65,No_failure
12.4,2.85,27.94,74.19,70.94,29.06,262.97,39.88,1110.99,31.62,83.15,16.36,100.0,47.0,No_failure
5.39,2.7,8.54,89.61,67.54,-1.18,176.28,60.0,1170.69,24.87,11.56,15.02,100.0,17.12,No_failure
17.36,3.17,0.66,83.52,72.31,0.05,80.67,32.27,1800.0,10.26,24.34,17.72,70.0,-40.0,No_failure
30.0,3.0,15.77,79.99,82.29,-11.26,224.36,60.0,1215.13,1.16,50.93,18.1,70.0,15.61,No_failure
25.38,2.69,40.0,75.99,78.69,-5.84,50.0,39.62,1553.25,34.26,16.12,10.26,70.0,-6.73,No_failure
20.01,2.79,28.16,90.95,67.89,19.32,188.32,35.06,1484.24,4.03,15.56,14.86,70.0,-15.88,No_failure
14.33,2.55,40.0,92.6,80.14,25.0,145.1,36.94,1350.26,28.03,19.61,18.77,100.0,-7.85,No_failure
10.28,2.97,17.25,88.55,85.2,6.67,108.82,37.15,1353.44,23.69,12.38,10.99,97.39,4.07,No_failure
18.97,2.35,34.81,73.01,52.68,20.09,181.59,33.47,1294.84,1.49,57.94,12.46,70.0,-12.98,No_failure
11.6,3.5,11.71,82.27,60.23,-12.73,215.52,49.49,1546.36,23.12,156.12,17.12,70.0,19.1,No_failure
24.32,2.72,8.23,95.2,88.65,20.98,266.79,33.73,1242.02,60.0,32.2,17.05,100.0,8.13,No_failure
1.57,4.3,-43.225,120.39124999999999,109.87,62.06,354.28,74.64999999999999,2057.52,125.17,192.84124999999997,27.183749999999996,140.55,107.68,Failure
20.87,2.4,7.9,85.74,57.91,0.53,115.41,43.61,1411.5,50.46,13.14,18.53,70.0,55.29,No_failure
1.59,4.3,-34.66,120.39124999999999,103.31,63.34,392.3,74.64999999999999,2202.75125,119.03,192.84124999999997,27.183749999999996,113.58,95.18,Failure
5.65,2.2,40.0,94.98,61.68,12.11,150.55,45.17411196,1461.56,9.59,9.58,18.09,70.0,74.1,No_failure
12.91,3.37,40.0,72.09,79.75,-14.93,103.04,38.83,1200.16,59.25,3.95,13.68,100.0,0.02,No_failure
39.69,1.26,-41.22,47.68125000000001,116.51124999999999,-2.5,2.85,15.530000000000012,780.68,127.61,182.05,23.87,53.74,-51.76,Failure
24.93,3.5,30.53,83.64,71.17,-2.94,233.13,55.46,1352.22,8.51,123.78,16.34,100.0,61.92,No_failure
41.82,1.26,-43.225,47.68125000000001,101.52,-16.93,32.25,15.530000000000012,620.4012500000002,130.53,192.84124999999997,22.08,49.63,-54.58,Failure
23.96,2.67,16.81,84.93,72.67,1.35,195.79,44.66,1319.54,12.14,186.11,11.28,100.0,26.38,No_failure
7.18,2.21,40.0,82.76,78.66,25.53,50.0,46.66,1633.82,8.25,35.82,18.88,70.0,57.44,No_failure
9.63,3.5,16.55,89.43,71.86,4.62,205.23,46.94,1147.75,60.0,26.25,16.56,100.0,27.05,No_failure
6.85,3.13,4.21,97.2,86.33,-16.95,259.43,37.12,1334.06,28.83,59.6,15.96,70.0,6.22,No_failure
12.28,3.11,40.0,79.65,70.53,7.6,153.5,41.72,1000.0,25.8,3.78,15.43,100.0,7.68,No_failure
13.37,2.92,4.85,83.41,77.44,-11.8,195.1,36.05,1552.93,60.0,2.5,13.27,70.0,-29.89,No_failure
7.36,3.03,25.05,94.02,60.63,5.89,162.52,41.98,1358.06,55.78,20.78,14.13,70.0,39.72,No_failure
17.18,2.71,0.89,75.05,64.49,34.32,223.6,48.17,1702.87,20.68,84.21,14.06,70.0,-40.0,No_failure
17.17,3.5,11.28,86.82,50.0,11.78,218.84,48.34,1404.97,24.51,103.95,18.92,78.56,45.67,No_failure
1.29,4.3,-43.225,120.39124999999999,108.06,67.2875,382.56,74.64999999999999,2202.75125,100.12,192.84124999999997,27.183749999999996,127.56,97.82,Failure
19.37,2.77,35.12,74.28,50.0,-16.98,132.46,43.78,1800.0,21.7,6.88,17.49,98.78,-2.73,No_failure
9.98,3.12,40.0,88.35,54.37,12.01,96.11,45.76,1722.87,9.93,8.72,11.69,100.0,40.32,No_failure
18.54,2.31,10.98,76.8,82.49,-3.4,136.61,42.6,1126.64,8.64,16.21,17.17,100.0,50.46,No_failure
43.15625,1.26,-43.225,47.68125000000001,100.42,2.9,38.01,16.33,674.26,130.53,192.84124999999997,24.35,53.03,-79.49,Failure
3.0,2.53,29.56,79.21,72.29,26.71,126.07,51.79,1560.15,19.79,60.63,16.24,70.0,35.79,No_failure
0.45,4.3,57.58,120.39124999999999,116.51124999999999,67.2875,363.02,74.64999999999999,2083.22,130.53,137.18,27.183749999999996,117.13,118.6,Failure
10.17,2.39,14.44,76.56,70.46,-1.59,147.35,46.45,1583.8,9.9,5.02,14.0,70.0,12.59,No_failure
11.91,2.84,2.31,70.34,73.87,-2.56,253.72,48.18,1419.793976,12.02,6.01,14.28,95.59,54.85,No_failure
22.07,2.49,16.09,76.45,50.0,5.2,115.44,34.4,1205.96,60.0,9.38,15.05,100.0,17.92,No_failure
29.49,3.35,35.42,77.75,65.04,26.28,216.21,34.42,1288.37,38.18,64.71,14.42,70.0,31.63,No_failure
14.33,2.77,22.61,88.37,65.12,30.71,163.73,47.92,1420.68,27.34,26.83,17.82,100.0,-10.13,No_failure
15.23,2.54,9.04,75.46,63.7,9.06,220.51,60.0,1304.74,10.73,14.08,11.3,70.0,30.22,No_failure
20.32,2.99,40.0,95.03,74.66,0.29,229.65,30.35,1285.1,32.3,35.29,19.89,82.47,43.81,No_failure
14.8,2.77,34.46,91.58,63.17,3.27,135.04,38.46,1372.02,0.25,21.98,20.0,70.0,16.08,No_failure
29.85,2.66,40.0,92.38,68.55,18.34,200.52,41.29,1749.13,7.34,22.12,12.38,100.0,42.59,No_failure
43.15625,1.26,-43.225,47.68125000000001,110.09,-11.08,1.87,24.04,620.4012500000002,103.48,192.84124999999997,20.39,25.0,-64.28,Failure
15.0,3.35,17.62,82.76,67.86,40.0,134.92,37.51,1310.85,4.47,53.06,16.58,70.0,-3.82,No_failure
1.39,4.3,89.935,120.39124999999999,101.39,63.37,407.59,74.64999999999999,2157.73,130.53,169.25,27.183749999999996,145.0,98.56,Failure
0.87,4.3,86.71,120.39124999999999,101.42,67.2875,377.03,74.64999999999999,2116.8,83.87,73.44,27.183749999999996,143.82,96.19,Failure
12.79,2.84,19.52,98.99,69.25,29.98,139.09,42.87,1418.5,5.54,0.93,14.32,100.0,-40.0,No_failure
15.16,3.36,23.6,82.87,50.0,5.87,57.67,60.0,1104.5,19.02,15.56,13.84,70.0,64.66,No_failure
24.01,2.29,40.0,82.18,50.0,9.37,149.75,43.25,1319.42,14.85,28.55,18.5,100.0,16.43,No_failure
13.21,2.5,10.04,85.08,79.35,31.39,228.24,32.35,1292.3,10.96,48.89,14.96,70.0,9.23,No_failure
9.03,3.15,10.87,81.22,86.24,14.2,213.82,40.32,1287.76,60.0,192.84124999999997,14.91,76.43,33.64,No_failure
24.14,3.05,40.0,84.42,79.79,10.66,197.23,38.0,1633.86,19.26,103.75,17.75,100.0,14.96,No_failure
8.28,2.23,7.53,78.59,57.43,-10.71,220.19,35.0,1780.17,5.02,72.61,14.11,100.0,25.69,No_failure
18.67,4.3,42.19,75.12,78.65,24.12,223.87,74.64999999999999,2202.75125,15.3,93.77,24.23,100.05,-18.74,No_failure
6.7,2.93,8.84,89.73,79.14,19.64,300.0,36.28,1366.95,49.72,9.85,12.18,70.0,29.93,No_failure
23.91,3.14,40.0,78.66,69.99,-18.81,255.01,50.4,1206.43,43.25,70.59,13.26,91.79,80.0,No_failure
0.03,4.3,-43.225,120.39124999999999,116.51124999999999,67.2875,411.85125,74.64999999999999,2202.75125,76.79,192.84124999999997,27.183749999999996,143.56,95.67,Failure
39.44,1.26,-36.61,47.68125000000001,116.51124999999999,-9.76,20.44,15.530000000000012,620.4012500000002,130.53,61.1,27.183749999999996,48.34,-77.24,Failure
30.0,2.12,40.0,95.59,69.87,4.3,109.71,50.87,1450.04,29.46,10.15,10.0,73.89,25.16,No_failure
39.52,1.26,-43.225,47.68125000000001,116.51124999999999,-16.19,11.09,15.530000000000012,620.4012500000002,100.35,66.65,27.183749999999996,39.1,-58.86,Failure
14.97,3.3,40.0,83.29,90.0,35.58,186.48,40.59,1360.17,1.41,0.9,15.66,95.09,30.54,No_failure
12.29,2.14,40.0,77.57,56.22,8.14,213.82,48.66,1322.87,60.0,5.68,11.63,100.0,41.26,No_failure
24.24,2.33,40.0,95.52,67.62,40.0,300.0,60.0,1266.19,30.64,29.52,19.54,70.0,-2.43,No_failure
20.77,2.72,12.34,98.07,58.73,7.42,100.51,35.55,1355.53,26.48,107.35,14.72,100.0,7.56,No_failure
17.86,3.11,20.82,87.37,75.58,7.76,156.27,43.47,1369.23,26.15,108.98,12.49,100.0,-13.31,No_failure
3.11,3.09,1.24,94.75,82.91,4.08,128.37,53.74,1736.22,0.63,20.45,11.63,100.0,69.48,No_failure
21.76,2.43,23.67,81.19,75.78,-1.24,234.91,58.9,1368.31,45.60892484,89.75,12.43,100.0,-26.05,No_failure
19.17,2.67,11.11,98.69,71.35,18.4,300.0,38.15,1000.0,58.61,7.36,11.13,70.0,20.0,No_failure
39.11,1.26,-43.225,57.55,106.89,-8.66,6.93,15.530000000000012,775.8,130.53,192.84124999999997,22.82,49.7,-81.59,Failure
25.32,2.28,29.53,72.54,65.6,6.91,271.19,43.04,1603.85,12.37,78.82,10.97,70.0,17.78,No_failure
13.08,2.94,6.67,78.67,57.24,40.0,133.96,47.9,1299.36,44.51,12.47,13.01,84.76,50.6,No_failure
11.63,2.7,30.65,94.34,76.43,13.7,138.68,35.54,1563.09,31.75,46.86,16.61,100.0,59.07,No_failure
42.47,1.26,-33.05,68.13,107.6,3.79,27.74,15.530000000000012,620.4012500000002,130.53,134.2,24.46,54.83,-69.19,Failure
1.28,4.3,88.02,120.39124999999999,116.51124999999999,67.2875,411.85125,74.64999999999999,2152.87,123.16,192.84124999999997,27.183749999999996,115.04,97.09,Failure
7.31,2.56,1.54,81.41,60.38,12.32,50.45,45.99,1298.63,48.61,51.61,14.31,70.0,48.99,No_failure
17.26,2.7,0.92,96.6,74.25,-20.0,220.36,41.53,1708.86,45.60892484,6.12,16.36,100.0,-40.0,No_failure
13.07,3.5,34.94,95.92,64.31,18.7,171.85,37.57,1058.94,20.67,5.91,18.47,100.0,23.93,No_failure
13.58,2.58,17.16,82.39,50.0,-15.22,228.4,55.02,1702.08,17.45,34.97,19.12,70.0,40.71,No_failure
26.04,2.95,37.17,79.63,80.45,40.0,209.32,51.66,1373.29,43.81,30.6,12.58,70.0,16.36,No_failure
22.6,2.71,18.52,99.51,70.35,16.33,169.38,42.99,1632.82,56.31,32.22,20.0,70.0,-3.79,No_failure
17.01,3.01,40.0,73.74,57.27,-10.35,120.27,39.05,1734.44,48.59,157.22,13.61,70.0,80.0,No_failure
25.0,3.5,16.73,73.37,58.87,39.23,178.97,42.84,1681.73,22.08,26.95,13.92,73.59,50.03,No_failure
20.89,2.24,40.0,85.05,85.88,-14.59,89.1,32.25,1581.06,59.71,16.41,15.49,70.0,43.51,No_failure
39.81,1.26,-43.225,47.68125000000001,110.79,-2.19,36.56,23.15,620.4012500000002,130.53,192.84124999999997,27.183749999999996,25.0,-67.47,Failure
11.82,2.75,15.19,96.72,69.81,12.36,235.56,41.87,1450.74,16.54,50.2,14.19,100.0,30.88,No_failure
11.19,2.72,5.79,92.25,73.4,11.96,137.44,54.97,1110.31,1.08,76.83,12.44,100.0,72.03,No_failure
7.95,2.15,15.02,97.56,88.57,35.52,74.78,53.56,1595.63,19.99,27.32,14.53,100.0,46.01,No_failure
25.48,2.56,40.0,88.11,67.02,15.66,144.08,49.86,1605.61,14.4,77.17,18.37,100.0,-5.77,No_failure
15.69,2.89,6.21,74.98,68.1,8.74,199.79,47.64,1614.24,27.85,21.44,14.47,70.0,22.76,No_failure
19.13,2.76,7.4,71.54,80.89,19.58,233.26,30.62,1037.64,3.48,69.19,10.0,73.44,53.43,No_failure
19.26,2.7,15.65,72.13,72.3,9.61,234.75,41.17,1560.86,0.49,28.22,13.96,77.43,21.62,No_failure
14.99,2.96,34.14,95.74,57.87,5.21,203.76,60.0,1641.05,44.08,21.31,15.65,100.0,27.57,No_failure
27.65,3.2,40.0,91.93,75.98,33.87,128.58,42.28,1758.54,16.83,41.08,14.43,100.0,58.69,No_failure
18.08,2.05,5.92,72.9,53.8,1.22,196.87,55.79,1569.49,20.9,95.58,17.64,93.65,2.77,No_failure
25.79,3.09,16.99,70.67,63.64,-7.21,194.5,60.0,1314.98,47.58,49.71,14.83,70.0,18.27,No_failure
21.92,2.31,40.0,72.32,73.54,2.99,295.04,39.28,1169.43,60.0,39.03,12.85,70.0,-0.85,No_failure
43.15625,1.26,-36.74,47.68125000000001,105.11,-15.66,10.18,17.27,620.4012500000002,116.51,129.3,26.04,25.0,-87.61,Failure
23.24,3.26,29.69,95.44,73.44,40.0,220.02,50.62,1340.87,9.58,2.14,10.56,70.0,9.05,No_failure
19.52,2.91,18.68,85.66,78.33,18.32,178.8,33.26,1582.63,31.68,18.34,13.55,94.82,20.08,No_failure
13.33,2.33,40.0,71.58,54.24,14.25,231.62,30.0,1168.44,55.49,34.43,14.35,100.0,44.04,No_failure
24.67,2.33,24.17,83.93,80.0,-5.78,84.34,32.65,1421.26,60.0,34.09,16.8,70.0,36.4,No_failure
20.23,2.23,14.04,89.97,69.72,2.67,170.03,36.2,1405.91,1.54,17.01,12.5,70.0,-3.02,No_failure
23.03,3.15,22.06,74.27,63.97,24.21,133.87,34.2,1000.0,9.93,18.86,10.18,70.0,73.97,No_failure
14.19,3.03,12.39,70.13,69.72,-3.59,173.7,41.67,1000.0,24.58,14.0,17.21,70.0,51.75,No_failure
15.44,2.88,6.77,74.6,50.95,15.1,241.45,42.25,1651.02,7.72,8.7,13.89,72.44,5.78,No_failure
24.49,2.74,12.64,73.25,70.31,17.14,149.24,39.77,1670.47,53.96,40.29,16.5,75.97,49.19,No_failure
21.11,2.49,40.0,70.76,82.45,-4.58,254.57,43.07,1000.0,34.64,0.48,13.09,100.0,77.18,No_failure
13.82,2.12,27.34,80.71,65.06,40.0,187.33,42.21,1173.88,35.38,30.61,11.69,70.0,37.13,No_failure
20.97,2.83,40.0,77.28,68.01,15.46,215.45,42.23,1439.93,15.13,78.31,13.28,70.0,19.71,No_failure
23.77,3.18,32.27,96.63,78.41,-4.49,194.35,45.42,1194.24,8.78,112.54,16.86,70.0,11.07,No_failure
